0,0,4,-1
0,1,29,-1
0,2,26,-1
0,3,8,-1
0,4,33,-1
0,5,11,-1
0,6,14,-1
0,7,35,-1
0,8,15,-1
0,9,1,-1
1,0,27,-1
1,1,43,3
1,2,50,1
1,3,98,0
1,4,86,0
1,5,46,1
1,6,66,2
1,7,37,2
1,8,49,1
1,9,22,-1
2,0,21,-1
2,1,60,2
2,2,62,1
2,3,52,1
2,4,81,0
2,5,68,1
2,6,44,3
2,7,73,1
2,8,78,0
2,9,30,-1
3,0,34,-1
3,1,48,1
3,2,61,2
3,3,57,2
3,4,77,2
3,5,65,0
3,6,92,2
3,7,55,3
3,8,97,1
3,9,31,-1
4,0,20,-1
4,1,100,1
4,2,95,2
4,3,93,1
4,4,45,2
4,5,82,0
4,6,76,0
4,7,54,2
4,8,99,3
4,9,10,-1
5,0,24,-1
5,1,70,1
5,2,39,3
5,3,75,1
5,4,87,0
5,5,53,2
5,6,89,2
5,7,58,1
5,8,80,3
5,9,6,-1
6,0,7,-1
6,1,72,3
6,2,47,2
6,3,56,2
6,4,51,0
6,5,42,3
6,6,90,3
6,7,41,2
6,8,88,0
6,9,12,-1
7,0,17,-1
7,1,84,2
7,2,59,2
7,3,91,2
7,4,64,0
7,5,71,2
7,6,79,0
7,7,83,2
7,8,40,0
7,9,36,-1
8,0,18,-1
8,1,96,3
8,2,67,3
8,3,85,1
8,4,38,0
8,5,63,3
8,6,74,0
8,7,94,1
8,8,69,0
8,9,5,-1
9,0,3,-1
9,1,32,-1
9,2,13,-1
9,3,28,-1
9,4,23,-1
9,5,19,-1
9,6,16,-1
9,7,9,-1
9,8,25,-1
9,9,2,-1
