1, 0
56, 0
9, 0
20, 0
18, 0
40, 0
30, 0
58, 0
50, 0
55, 0
24, 0
28, 0
43, 0
32, 0
15, 0
4, 1
35, 3
173, 3
79, 0
195, 2
190, 3
103, 0
87, 2
217, 3
222, 0
198, 2
164, 1
209, 3
113, 2
86, 0
132, 0
49, 1
57, 3
160, 0
237, 1
127, 3
247, 2
249, 0
244, 1
239, 2
185, 2
211, 3
135, 3
210, 3
235, 1
215, 2
149, 3
29, 1
31, 3
73, 0
206, 0
248, 1
161, 0
147, 0
72, 1
250, 3
68, 1
163, 2
176, 3
61, 3
168, 2
158, 1
191, 0
34, 1
21, 3
76, 1
193, 0
172, 0
154, 1
109, 1
105, 2
92, 0
116, 2
187, 0
90, 0
212, 1
143, 0
157, 3
85, 3
51, 1
42, 3
199, 3
186, 3
234, 0
165, 1
62, 2
174, 1
133, 0
203, 3
75, 3
171, 1
91, 2
183, 0
63, 1
78, 0
36, 1
23, 3
226, 3
182, 1
108, 3
256, 1
252, 3
117, 2
100, 3
219, 2
223, 1
200, 3
95, 1
112, 1
118, 3
130, 3
47, 1
38, 3
178, 1
80, 1
69, 3
81, 1
97, 3
70, 0
243, 3
245, 0
242, 3
107, 1
115, 2
94, 0
140, 2
241, 3
17, 1
16, 3
153, 3
106, 0
111, 3
229, 0
125, 3
98, 3
141, 2
246, 1
151, 0
65, 3
156, 1
99, 3
155, 3
136, 1
33, 1
14, 3
207, 2
177, 2
126, 2
138, 2
224, 3
134, 1
101, 3
120, 2
218, 0
208, 2
194, 1
236, 0
255, 3
96, 1
39, 1
6, 3
121, 0
181, 0
114, 2
227, 3
179, 1
64, 1
150, 1
159, 3
214, 2
152, 1
230, 0
66, 2
189, 3
221, 1
7, 1
19, 3
204, 3
253, 0
82, 1
139, 0
254, 3
102, 3
197, 0
146, 3
251, 3
71, 3
205, 2
201, 3
166, 0
84, 3
60, 1
52, 3
220, 3
89, 0
148, 0
167, 3
119, 0
228, 0
240, 2
213, 3
123, 2
184, 1
93, 0
188, 1
238, 0
145, 3
45, 1
25, 3
110, 0
225, 1
169, 0
142, 2
129, 3
202, 0
131, 2
83, 2
175, 1
67, 2
231, 1
137, 1
196, 2
128, 1
48, 1
11, 3
170, 2
122, 2
192, 2
74, 2
233, 2
180, 1
216, 0
162, 3
104, 0
232, 0
88, 1
144, 1
124, 3
77, 0
22, 1
2, 3
8, 2
13, 2
10, 2
27, 2
44, 2
41, 2
5, 2
54, 2
59, 2
37, 2
53, 2
26, 2
12, 2
46, 2
3, 2
