0,0,3,-1
0,1,8,-1
0,2,10,-1
0,3,18,-1
0,4,13,-1
0,5,16,-1
0,6,23,-1
0,7,7,-1
0,8,2,-1
1,0,17,-1
1,1,71,1
1,2,66,1
1,3,45,2
1,4,77,1
1,5,73,2
1,6,69,0
1,7,37,0
1,8,11,-1
2,0,32,-1
2,1,72,2
2,2,62,1
2,3,80,2
2,4,47,3
2,5,44,2
2,6,52,1
2,7,35,3
2,8,29,-1
3,0,21,-1
3,1,74,1
3,2,36,1
3,3,53,1
3,4,40,2
3,5,49,1
3,6,48,1
3,7,67,2
3,8,30,-1
4,0,28,-1
4,1,55,1
4,2,78,3
4,3,46,1
4,4,75,2
4,5,61,1
4,6,59,1
4,7,54,1
4,8,15,-1
5,0,24,-1
5,1,63,1
5,2,50,0
5,3,41,2
5,4,70,2
5,5,68,0
5,6,60,0
5,7,33,2
5,8,26,-1
6,0,12,-1
6,1,56,1
6,2,51,0
6,3,57,3
6,4,39,1
6,5,81,2
6,6,65,0
6,7,38,0
6,8,25,-1
7,0,22,-1
7,1,42,0
7,2,58,0
7,3,43,3
7,4,76,3
7,5,79,0
7,6,34,0
7,7,64,2
7,8,6,-1
8,0,4,-1
8,1,20,-1
8,2,14,-1
8,3,27,-1
8,4,5,-1
8,5,31,-1
8,6,19,-1
8,7,9,-1
8,8,1,-1
